galaxy,inner_slope,n_points_x,filename,p,q,MSE,n_points_y,regime_q,dist_to_nfw,dist_to_obs_core
UGC00731,1.883197399147771,5,UGC00731_rotmod.dat,1.0826220895300414,0.7635305574202732,0.0002293625980667,12.0,Peak,0.11680260085222893,0.3168026008522291
UGC00891,2.2068835333263084,5,UGC00891_rotmod.dat,2.2654317103267814,0.5693054948361346,0.0002074070417917,5.0,Peak,0.20688353332630838,0.0
UGC01230,2.603836465272309,5,UGC01230_rotmod.dat,0.8405918612013428,0.539570904901698,0.0156102746018003,11.0,Peak,0.6038364652723089,0.0
UGC01281,3.147414477216563,5,UGC01281_rotmod.dat,3.0,0.303921550065345,0.000280156273357,23.0,Peak,1.147414477216563,0.34741447721656327
UGC02023,2.671023400095264,5,UGC02023_rotmod.dat,2.999998572672308,2.9999983679879434,0.0003519936754071,5.0,Diffus,0.671023400095264,0.0
UGC02259,1.5163617071572792,5,UGC02259_rotmod.dat,0.5455255201105049,2.999999999999985,0.0014949757310919,8.0,Diffus,0.48363829284272075,0.6836382928427209
UGC02455,2.0031126458650035,5,,,,,,,0.0031126458650034827,0.1968873541349967
UGC02487,0.8895064060220016,5,UGC02487_rotmod.dat,0.7229043129033225,0.8221268414986266,0.0073071629711229,17.0,Peak,1.1104935939779983,1.3104935939779985
UGC02885,0.9585199300984941,5,UGC02885_rotmod.dat,0.7419069089677269,2.999999999996548,0.0040318223825718,18.0,Diffus,1.0414800699015059,1.241480069901506
UGC02916,1.1997226407108528,5,UGC02916_rotmod.dat,2.9999999999999267,0.2187484834842491,0.0457660286278607,22.0,Peak,0.8002773592891472,1.0002773592891474
UGC02953,1.003650031169992,5,UGC02953_rotmod.dat,0.6142509419347555,2.999999999999992,0.0164377472351696,78.0,Diffus,0.9963499688300079,1.196349968830008
UGC03205,1.5089646126302871,5,UGC03205_rotmod.dat,0.620736676979001,2.9999999999999982,0.0100741647220768,44.0,Diffus,0.49103538736971286,0.691035387369713
